Time,Iterations
2.2843e-05,0
0.000260405,10
0.000278088,20
0.000296037,30
0.000316623,40
0.000342991,50
0.000372094,60
0.000406732,70
0.000445748,80
0.000489304,90
0.00053998,100
0.000593579,110
0.000650961,120
0.000714295,130
0.000813688,140
0.000885303,150
0.000979503,160
0.00105783,170
0.00113316,180
0.00121193,190
0.00129529,200
0.0014016,210
0.00148902,220
0.00157942,230
0.00168283,240
0.00179167,250
0.00189508,260
0.00200359,270
0.00211262,280
0.00222464,290
0.00236083,300
0.00248075,310
0.00263359,320
0.00277392,330
0.00290831,340
0.00306725,350
0.00320775,360
0.00335403,370
0.00350426,380
0.00365845,390
0.00382836,400
0.00399203,410
0.00415715,420
0.00432537,430
0.00449731,440
0.00468247,450
0.00488238,460
0.00506806,470
0.00525366,480
0.0054433,490
0.00563778,500
0.00584374,510
0.00605393,520
0.00625203,530
0.00644704,540
0.00664579,550
0.0068539,560
0.00706331,570
0.00727041,580
0.00748043,590
0.00769428,600
0.00792323,610
0.00814676,620
0.00838352,630
0.00862704,640
0.00888505,650
0.00913761,660
0.00939035,670
0.00964749,680
0.00991711,690
0.0101884,700
0.0104563,710
0.0107266,720
0.0110107,730
0.0112902,740
0.0115713,750
0.0118638,760
0.012154,770
0.0124461,780
0.0127415,790
0.013049,800
0.0133536,810
0.0136598,820
0.0139785,830
0.0142932,840
0.0146102,850
0.014941,860
0.0152669,870
0.0155978,880
0.015976,890
0.0163983,900
0.0168771,910
0.0173761,920
0.0179132,930
0.0184913,940
0.0191479,950
0.0198798,960
0.020708,970
0.0216378,980
0.0226539,990
0.0238113,1000
0.0250436,1010
0.0263453,1020
0.0277376,1030
0.0291757,1040
0.0306638,1050
0.0322306,1060
0.0338996,1070
0.0356109,1080
0.0373353,1090
0.039006,1100
0.0407296,1110
0.0423968,1120
0.0440933,1130
0.0458398,1140
0.0476313,1150
0.049829,1160
0.0519679,1170
0.0541209,1180
0.0563354,1190
0.0586109,1200
0.0609628,1210
0.0633691,1220
0.0660966,1230
0.0690376,1240
0.0716153,1250
0.0740532,1260
0.076442,1270
0.0789073,1280
0.0815023,1290
0.0840416,1300
0.0866033,1310
0.0890311,1320
0.0913289,1330
0.0934691,1340
0.0955237,1350
0.0976059,1360
0.0997292,1370
0.101902,1380
0.104105,1390
0.10633,1400
0.108595,1410
0.110917,1420
0.11327,1430
0.11568,1440
0.118103,1450
0.120573,1460
0.123086,1470
0.125632,1480
0.128212,1490
0.13083,1500
0.133497,1510
0.136194,1520
0.13894,1530
0.14172,1540
0.144424,1550
0.147151,1560
0.149916,1570
0.152716,1580
0.155566,1590
0.158444,1600
0.161371,1610
0.16432,1620
0.167262,1630
0.170162,1640
0.173169,1650
0.176179,1660
0.179215,1670
0.182261,1680
0.18534,1690
0.188468,1700
0.191619,1710
0.194952,1720
0.198314,1730
0.201724,1740
0.20516,1750
0.208519,1760
0.211897,1770
0.21531,1780
0.218757,1790
0.22223,1800
0.225736,1810
0.22928,1820
0.232859,1830
0.236473,1840
0.240128,1850
0.24382,1860
0.247542,1870
0.2513,1880
0.255096,1890
0.259056,1900
0.263294,1910
0.267553,1920
0.271819,1930
0.276021,1940
0.280191,1950
0.284237,1960
0.288317,1970
0.292437,1980
0.29659,1990
0.300823,2000
0.305046,2010
0.309325,2020
0.313618,2030
0.317928,2040
0.322321,2050
0.326721,2060
0.331163,2070
0.335639,2080
0.34015,2090
0.344653,2100
0.349153,2110
0.353772,2120
0.358425,2130
0.363082,2140
0.367806,2150
0.372489,2160
0.377249,2170
0.382081,2180
0.386954,2190
0.391859,2200
0.396753,2210
0.401792,2220
0.407024,2230
0.412103,2240
0.417189,2250
0.422311,2260
0.427448,2270
0.432536,2280
0.437749,2290
0.443011,2300
0.448175,2310
0.453294,2320
0.458449,2330
0.463641,2340
0.469047,2350
0.474526,2360
0.479979,2370
0.48537,2380
0.490829,2390
0.496238,2400
0.501813,2410
0.507518,2420
0.513416,2430
0.519366,2440
0.525171,2450
0.53101,2460
0.536845,2470
0.542647,2480
0.548501,2490
0.554457,2500
0.560355,2510
0.566229,2520
0.572075,2530
0.577956,2540
0.584473,2550
0.591262,2560
0.598074,2570
0.604851,2580
0.611327,2590
0.617674,2600
0.624067,2610
0.63052,2620
0.636924,2630
0.643224,2640
0.649983,2650
0.65715,2660
0.664357,2670
0.671593,2680
0.678869,2690
0.686177,2700
0.693538,2710
0.700936,2720
0.708385,2730
0.715851,2740
0.723359,2750
