Time,Iterations
5.957e-06,0
2.5846e-05,10
5.461e-06,20
5.624e-06,30
6.927e-06,40
8.306e-06,50
9.585e-06,60
1.1097e-05,70
1.2714e-05,80
1.4396e-05,90
1.6862e-05,100
1.8283e-05,110
1.9752e-05,120
2.1217e-05,130
2.2668e-05,140
2.3609e-05,150
2.52e-05,160
2.6556e-05,170
2.7976e-05,180
3.2042e-05,190
3.2943e-05,200
3.3054e-05,210
3.4318e-05,220
3.5617e-05,230
3.718e-05,240
3.8547e-05,250
3.9975e-05,260
4.1473e-05,270
4.2956e-05,280
4.4363e-05,290
4.5795e-05,300
4.7322e-05,310
4.8793e-05,320
5.0234e-05,330
5.1579e-05,340
5.3166e-05,350
5.4646e-05,360
5.6068e-05,370
5.7466e-05,380
5.8962e-05,390
6.0436e-05,400
6.3812e-05,410
6.4576e-05,420
6.505e-05,430
6.6215e-05,440
6.7806e-05,450
6.9198e-05,460
7.065e-05,470
7.2054e-05,480
7.3502e-05,490
7.4938e-05,500
7.6548e-05,510
7.7987e-05,520
7.9471e-05,530
8.082e-05,540
8.4214e-05,550
8.5093e-05,560
8.5558e-05,570
8.6825e-05,580
8.8218e-05,590
8.9729e-05,600
9.1048e-05,610
9.2344e-05,620
9.4044e-05,630
9.5401e-05,640
9.6779e-05,650
9.9799e-05,660
0.000100995,670
0.000101728,680
0.000102925,690
0.0001043,700
0.00010555,710
0.000107097,720
0.000108405,730
0.000110182,740
0.000113252,750
0.000114226,760
0.000114803,770
0.000115717,780
0.000117395,790
0.00011862,800
0.000120094,810
0.000121822,820
0.000123182,830
0.000126168,840
0.000127279,850
0.000127669,860
0.000128848,870
0.000131385,880
0.000146627,890
0.000166211,900
0.000187442,910
0.000206713,920
0.000225259,930
0.000244601,940
0.000265952,950
0.00028504,960
0.000303695,970
0.000323156,980
0.000344576,990
0.000363796,1000
0.000384038,1010
0.000403344,1020
0.000421691,1030
0.000442828,1040
0.000462354,1050
0.000482304,1060
0.000501508,1070
0.000521352,1080
0.000540829,1090
0.000561131,1100
0.000579977,1110
0.000600359,1120
0.000621278,1130
0.000639369,1140
0.000659053,1150
0.000680028,1160
0.000698358,1170
0.000717919,1180
0.000739041,1190
0.000758758,1200
0.000776666,1210
0.000796875,1220
0.000817587,1230
0.000836794,1240
0.000858338,1250
0.000876713,1260
0.000894664,1270
0.000915097,1280
0.000935294,1290
0.000955059,1300
0.000974759,1310
0.000994512,1320
0.00101433,1330
0.00103355,1340
0.00105321,1350
0.0010727,1360
0.00109405,1370
0.00111254,1380
0.00113225,1390
0.00115182,1400
0.00117154,1410
0.00119073,1420
0.00121029,1430
0.00123134,1440
0.00124966,1450
0.00126955,1460
0.00129117,1470
0.00142961,1480
0.00126443,1490
0.00122685,1500
0.00124117,1510
0.00125861,1520
0.00127677,1530
0.00129636,1540
0.00131312,1550
0.00133146,1560
0.00135256,1570
0.00136834,1580
0.00138583,1590
0.00140473,1600
0.00142266,1610
0.00144235,1620
0.00145936,1630
0.00147755,1640
0.00149656,1650
0.00151395,1660
0.00153295,1670
0.00155128,1680
0.00156887,1690
0.00158765,1700
0.00160526,1710
0.00162497,1720
0.00164308,1730
0.00166008,1740
0.00167943,1750
0.00169744,1760
0.00171481,1770
0.00173368,1780
0.00175207,1790
0.00177046,1800
0.00179987,1810
0.00180844,1820
0.00182545,1830
0.00184343,1840
0.00186171,1850
0.00188049,1860
0.00190672,1870
0.00191648,1880
0.00193551,1890
0.00195334,1900
0.00197199,1910
0.00198965,1920
0.00200801,1930
0.00202585,1940
0.00204453,1950
0.00206255,1960
0.00208189,1970
0.0020992,1980
0.00211731,1990
0.00213564,2000
0.00215395,2010
0.00217229,2020
0.00219137,2030
0.00221025,2040
0.00223383,2050
0.00225414,2060
0.00226391,2070
0.00228294,2080
0.00230028,2090
0.00233668,2100
0.00233797,2110
0.00235503,2120
0.00237332,2130
0.00239244,2140
0.00241041,2150
0.00243163,2160
0.0024703,2170
0.00246582,2180
0.00248288,2190
0.00250088,2200
0.00251997,2210
0.00253795,2220
0.00255601,2230
0.00257468,2240
0.0025928,2250
0.00261241,2260
0.00263017,2270
0.00264754,2280
0.00266642,2290
0.00268395,2300
0.00270224,2310
0.00272141,2320
0.00273927,2330
0.00275637,2340
0.0027758,2350
0.00279371,2360
0.00281195,2370
0.00283081,2380
0.00284846,2390
0.00286713,2400
0.0028982,2410
0.00290746,2420
0.00292455,2430
0.00294042,2440
0.00296079,2450
0.00297638,2460
0.00299565,2470
0.00301301,2480
0.00303185,2490
0.00304984,2500
0.00306694,2510
0.00308656,2520
0.00310495,2530
0.0031232,2540
0.00314165,2550
0.00315972,2560
0.00317736,2570
0.00319651,2580
0.00321593,2590
0.00325441,2600
0.00325973,2610
0.00327032,2620
0.00328712,2630
0.00330682,2640
0.00332466,2650
0.00334264,2660
0.00336207,2670
0.00337791,2680
0.00339808,2690
0.00341582,2700
0.00343327,2710
0.00345217,2720
0.00347967,2730
0.00348887,2740
0.00350572,2750
0.0035262,2760
0.00354257,2770
0.00356169,2780
0.00357965,2790
0.00359945,2800
0.00361721,2810
0.00363423,2820
0.00365356,2830
0.00367131,2840
0.00368883,2850
0.00370745,2860
0.00372633,2870
0.00374673,2880
0.00376367,2890
0.00378151,2900
0.00379957,2910
0.00381801,2920
0.00383574,2930
0.00385354,2940
0.00387246,2950
0.00389042,2960
0.00390963,2970
0.00392744,2980
0.00394541,2990
0.00396415,3000
0.00398261,3010
0.0040003,3020
0.00401835,3030
0.00403653,3040
0.00405519,3050
0.00407311,3060
0.0041037,3070
0.00411122,3080
0.00412837,3090
0.00414615,3100
0.00416471,3110
0.00418281,3120
0.00420129,3130
0.0042201,3140
0.0042384,3150
0.00425635,3160
0.0042742,3170
0.00429633,3180
0.00431243,3190
0.0043294,3200
0.0043468,3210
0.00436766,3220
0.00438345,3230
0.00440343,3240
0.00442083,3250
0.00443931,3260
0.00446117,3270
0.00452835,3280
0.00449553,3290
0.00451175,3300
0.00453151,3310
0.00454853,3320
0.00456719,3330
0.00458526,3340
0.00460383,3350
0.00462266,3360
0.00464045,3370
0.00465882,3380
0.00467701,3390
0.00469593,3400
0.00471291,3410
0.00473289,3420
0.00475053,3430
0.00476787,3440
0.00478734,3450
0.00480531,3460
0.00482263,3470
0.0048412,3480
0.00485898,3490
0.00487686,3500
0.00489856,3510
0.00491443,3520
0.00493194,3530
0.00495191,3540
0.00498105,3550
0.00498845,3560
0.00500632,3570
0.0050245,3580
0.00504214,3590
0.00506092,3600
0.00507831,3610
0.00509753,3620
0.00511672,3630
0.00513454,3640
0.00515027,3650
0.00517054,3660
0.00518952,3670
0.00520733,3680
0.00522726,3690
0.00524252,3700
0.00526167,3710
0.00527955,3720
0.00529927,3730
0.00531637,3740
0.00533578,3750
0.0053535,3760
0.00537186,3770
0.00539047,3780
0.00541912,3790
0.00542956,3800
0.00544515,3810
0.00546194,3820
0.00548182,3830
0.00549914,3840
0.00551912,3850
0.00553644,3860
0.0055558,3870
0.00557216,3880
0.00560428,3890
0.00599043,3900
0.00564468,3910
0.00567253,3920
0.00567705,3930
0.00573423,3940
0.00572373,3950
0.00575493,3960
0.00577266,3970
0.00576376,3980
0.00578687,3990
0.00579328,4000
0.00581486,4010
0.00584225,4020
0.00585069,4030
0.00586888,4040
0.00588512,4050
0.00591296,4060
0.00591971,4070
0.0059377,4080
0.00595455,4090
0.0059731,4100
0.00599262,4110
0.00601342,4120
0.00602987,4130
0.00604657,4140
0.00606775,4150
0.00608507,4160
0.00610269,4170
0.00612065,4180
0.0061401,4190
0.00615599,4200
0.00617561,4210
0.00619276,4220
0.00621321,4230
0.00623115,4240
0.00624813,4250
0.00626553,4260
0.00628317,4270
0.00630502,4280
0.00632021,4290
0.0063374,4300
0.00635072,4310
0.00637439,4320
0.00640907,4330
0.00641893,4340
0.00643174,4350
0.00645171,4360
0.00646852,4370
0.00648623,4380
0.00650574,4390
0.00652356,4400
0.00654092,4410
0.00655775,4420
0.00659322,4430
0.00659574,4440
0.00661486,4450
0.00663275,4460
0.00664864,4470
0.00667014,4480
0.00668856,4490
0.00670416,4500
0.0067236,4510
0.00674255,4520
0.00677257,4530
0.00678135,4540
0.00679749,4550
0.00681429,4560
0.00683632,4570
0.00685487,4580
0.00686679,4590
0.00688607,4600
0.0069048,4610
0.00693346,4620
0.00693987,4630
0.00696148,4640
0.00698092,4650
0.00700437,4660
0.00701699,4670
0.00703388,4680
0.00705354,4690
0.00707097,4700
0.00710279,4710
0.00711044,4720
0.00712925,4730
0.00714317,4740
0.00716152,4750
0.00717979,4760
0.00719804,4770
0.00721714,4780
0.00723943,4790
0.00724995,4800
0.00727183,4810
0.00728955,4820
0.00730589,4830
0.00732782,4840
0.00735838,4850
0.00736253,4860
0.00738325,4870
0.00739737,4880
0.00741954,4890
0.00743634,4900
0.00745025,4910
0.00747388,4920
0.00748973,4930
0.00751103,4940
0.00752718,4950
0.00754959,4960
0.00756295,4970
0.00763664,4980
0.00760222,4990
0.00762111,5000
0.00763651,5010
0.00765771,5020
0.00767708,5030
0.00769464,5040
0.00771352,5050
0.00774727,5060
0.00774696,5070
0.00776746,5080
0.00778445,5090
0.00780347,5100
0.00782112,5110
0.0078401,5120
0.00785828,5130
0.00789228,5140
0.00789596,5150
0.00791273,5160
0.00793895,5170
0.00795035,5180
0.00796891,5190
0.00798638,5200
0.00800405,5210
0.00802489,5220
0.0080405,5230
0.0080616,5240
0.00807773,5250
0.00809532,5260
0.00811796,5270
0.00813331,5280
0.00815024,5290
0.00816969,5300
0.00818525,5310
0.00820609,5320
0.00822213,5330
0.00825469,5340
0.00826084,5350
0.00827953,5360
0.00829786,5370
0.00832942,5380
0.00833325,5390
0.00835147,5400
0.00837052,5410
0.00838977,5420
0.00840768,5430
0.00842443,5440
0.00846238,5450
0.00846091,5460
0.00848045,5470
0.00849925,5480
0.00851741,5490
0.00853371,5500
0.00855387,5510
0.00857264,5520
0.00860904,5530
0.00860845,5540
0.00862459,5550
0.00864372,5560
0.00866444,5570
0.00867987,5580
0.00870623,5590
0.00871896,5600
0.00874972,5610
0.00875468,5620
0.00878724,5630
0.00880189,5640
0.00884254,5650
0.00890819,5660
0.00893664,5670
0.00895851,5680
0.00892341,5690
0.00893542,5700
0.00894712,5710
0.00895328,5720
0.00896173,5730
0.00897333,5740
0.00899188,5750
0.00901083,5760
0.0090299,5770
0.00904533,5780
0.00906606,5790
0.00908116,5800
0.00910277,5810
0.00913991,5820
0.00914386,5830
0.00916951,5840
0.00917538,5850
0.00919381,5860
0.00921228,5870
0.00922985,5880
0.00924885,5890
0.00928005,5900
0.00928772,5910
0.00930486,5920
0.00932011,5930
0.00934277,5940
0.00935715,5950
0.00937642,5960
0.00939441,5970
0.00941296,5980
0.0094295,5990
0.00945091,6000
0.00946607,6010
0.00948819,6020
0.00950231,6030
0.0095231,6040
0.00954152,6050
0.00956168,6060
0.00958151,6070
0.0095962,6080
0.00961632,6090
0.00963146,6100
0.00964794,6110
0.0096695,6120
0.0096868,6130
0.00970838,6140
0.00972439,6150
0.00979711,6160
0.00976042,6170
0.00977891,6180
0.00979786,6190
0.00981549,6200
0.00983247,6210
0.00985136,6220
0.00986616,6230
0.00989037,6240
0.00990673,6250
0.00992366,6260
0.00994402,6270
0.00996087,6280
0.00999599,6290
0.00999804,6300
0.0100173,6310
0.0100329,6320
0.0100541,6330
0.0100725,6340
0.010105,6350
0.0101075,6360
0.0101263,6370
0.0101449,6380
0.0101615,6390
0.010182,6400
0.0102005,6410
0.01022,6420
0.0102344,6430
0.0102522,6440
0.0102738,6450
0.0102898,6460
0.0103257,6470
0.0103394,6480
0.010345,6490
0.010362,6500
0.0103815,6510
0.0104017,6520
0.0104183,6530
0.0104518,6540
0.0104551,6550
0.010472,6560
0.0104911,6570
0.0105082,6580
0.0105242,6590
0.0105466,6600
0.0105624,6610
0.0105817,6620
0.0105985,6630
0.0106218,6640
0.0106385,6650
0.0106557,6660
0.0106752,6670
0.0106933,6680
0.010711,6690
0.010728,6700
0.010747,6710
0.0107767,6720
0.0107823,6730
0.0108042,6740
0.0108657,6750
0.01084,6760
0.0108587,6770
0.0108872,6780
