Time,Iterations
5.548e-06,0
1.4495e-05,10
2.735e-06,20
3.374e-06,30
8.831e-06,40
5.456e-06,50
6.457e-06,60
7.405e-06,70
8.47e-06,80
1.0241e-05,90
1.1985e-05,100
1.298e-05,110
1.3971e-05,120
1.496e-05,130
1.6024e-05,140
1.7036e-05,150
1.8029e-05,160
1.9075e-05,170
2.0076e-05,180
2.1134e-05,190
2.215e-05,200
2.3155e-05,210
2.4182e-05,220
2.5229e-05,230
2.6225e-05,240
2.7252e-05,250
2.8249e-05,260
2.9287e-05,270
3.0311e-05,280
3.1351e-05,290
3.2387e-05,300
3.3395e-05,310
4.0456e-05,320
3.5866e-05,330
4.0892e-05,340
3.7528e-05,350
3.852e-05,360
3.9519e-05,370
4.0544e-05,380
4.1617e-05,390
4.2571e-05,400
4.3623e-05,410
4.4641e-05,420
4.5651e-05,430
4.6714e-05,440
4.7729e-05,450
4.8746e-05,460
4.9765e-05,470
5.0783e-05,480
5.1839e-05,490
5.2821e-05,500
5.3849e-05,510
5.4901e-05,520
5.5935e-05,530
5.8633e-05,540
5.8296e-05,550
5.8996e-05,560
6.0007e-05,570
6.106e-05,580
6.2076e-05,590
6.3105e-05,600
6.4104e-05,610
6.5131e-05,620
6.6151e-05,630
6.7171e-05,640
6.8183e-05,650
6.9201e-05,660
7.0232e-05,670
7.1296e-05,680
7.3389e-05,690
7.3652e-05,700
7.437e-05,710
7.5345e-05,720
7.6397e-05,730
7.7409e-05,740
7.8455e-05,750
7.9476e-05,760
8.0487e-05,770
8.1498e-05,780
8.2533e-05,790
8.3548e-05,800
8.4557e-05,810
8.6629e-05,820
8.6974e-05,830
8.7658e-05,840
8.8658e-05,850
8.9715e-05,860
9.0719e-05,870
9.2429e-05,880
0.000106181,890
0.000124585,900
0.000142749,910
0.000161933,920
0.000179621,930
0.000197697,940
0.000215964,950
0.000234269,960
0.000253574,970
0.000271166,980
0.000289113,990
0.000308409,1000
0.000325994,1010
0.0003439,1020
0.000363408,1030
0.000380765,1040
0.000398661,1050
0.000417925,1060
0.000435569,1070
0.00045452,1080
0.000472313,1090
0.000491011,1100
0.000508694,1110
0.000527663,1120
0.000545246,1130
0.000564064,1140
0.000581713,1150
0.000600633,1160
0.000619269,1170
0.000636423,1180
0.000655553,1190
0.000673997,1200
0.000691264,1210
0.000710514,1220
0.000728864,1230
0.000746106,1240
0.000765042,1250
0.000783503,1260
0.00080193,1270
0.000821071,1280
0.000837368,1290
0.000868429,1300
0.000875427,1310
0.000893362,1320
0.000911509,1330
0.000929885,1340
0.000947894,1350
0.000966431,1360
0.000984794,1370
0.00100293,1380
0.0010212,1390
0.00103953,1400
0.0010577,1410
0.00107588,1420
0.00109413,1430
0.00111255,1440
0.00113068,1450
0.00114996,1460
0.00116719,1470
0.00118586,1480
0.00120354,1490
0.00122199,1500
0.00124103,1510
0.00125859,1520
0.00127678,1530
0.00129524,1540
0.00131416,1550
0.00133171,1560
0.00134992,1570
0.00136912,1580
0.00138624,1590
0.00140564,1600
0.00142264,1610
0.00144126,1620
0.00146068,1630
0.00147762,1640
0.00149681,1650
0.00151423,1660
0.00153358,1670
0.00155051,1680
0.00157016,1690
0.00158859,1700
0.00160572,1710
0.00162472,1720
0.00164249,1730
0.00166158,1740
0.00167981,1750
0.00169688,1760
0.00171632,1770
0.00173493,1780
0.00175269,1790
0.00177013,1800
0.00178933,1810
0.00180757,1820
0.00182569,1830
0.00184432,1840
0.00186326,1850
0.00187977,1860
0.00189884,1870
0.00191738,1880
0.00193519,1890
0.00195405,1900
0.00197213,1910
0.00199052,1920
0.00201061,1930
0.00203571,1940
0.00204884,1950
0.0020684,1960
0.00208612,1970
0.00210188,1980
0.00211954,1990
0.00213829,2000
0.00215557,2010
0.00217366,2020
0.00219088,2030
0.00220975,2040
0.00222809,2050
0.00224582,2060
0.00226399,2070
0.00228285,2080
0.00230255,2090
0.00231983,2100
0.00233742,2110
0.00235638,2120
0.00237425,2130
0.00239325,2140
0.00241239,2150
0.00243041,2160
0.00244789,2170
0.00246535,2180
0.00248405,2190
0.00251925,2200
0.00252148,2210
0.00253825,2220
