Time,Iterations
4.383e-06,0
1.6065e-05,10
2.738e-06,20
3.394e-06,30
4.395e-06,40
5.379e-06,50
6.397e-06,60
7.399e-06,70
8.643e-06,80
1.032e-05,90
1.196e-05,100
1.2956e-05,110
1.398e-05,120
1.4959e-05,130
1.5993e-05,140
1.6997e-05,150
1.8025e-05,160
1.9072e-05,170
2.0213e-05,180
2.1117e-05,190
2.2136e-05,200
2.3144e-05,210
2.4164e-05,220
2.5186e-05,230
2.6286e-05,240
3.1684e-05,250
2.829e-05,260
2.9288e-05,270
3.0319e-05,280
3.1349e-05,290
3.2381e-05,300
3.3381e-05,310
3.4417e-05,320
3.5419e-05,330
3.6453e-05,340
3.7408e-05,350
3.8459e-05,360
4.1656e-05,370
4.4934e-05,380
4.1518e-05,390
4.254e-05,400
4.3563e-05,410
4.4579e-05,420
4.5578e-05,430
4.6645e-05,440
4.7637e-05,450
4.867e-05,460
4.9719e-05,470
5.0701e-05,480
5.1768e-05,490
5.2748e-05,500
5.3778e-05,510
5.4811e-05,520
5.5839e-05,530
5.6854e-05,540
5.787e-05,550
5.8894e-05,560
6.1296e-05,570
6.1443e-05,580
6.2083e-05,590
6.2998e-05,600
6.402e-05,610
6.5074e-05,620
6.6087e-05,630
6.7096e-05,640
6.8093e-05,650
6.912e-05,660
7.0164e-05,670
7.1208e-05,680
7.2206e-05,690
7.3219e-05,700
7.4255e-05,710
8.9102e-05,720
7.8282e-05,730
7.7379e-05,740
8.2717e-05,750
7.9378e-05,760
8.038e-05,770
8.1453e-05,780
8.2421e-05,790
8.7889e-05,800
8.4491e-05,810
8.5507e-05,820
8.6514e-05,830
8.9658e-05,840
8.8892e-05,850
8.9612e-05,860
9.0634e-05,870
9.2371e-05,880
0.000106031,890
0.000124479,900
0.000142633,910
0.000160876,920
0.00018073,930
0.000197867,940
0.000215857,950
0.000234143,960
0.000253761,970
0.000271024,980
0.000289022,990
0.000307217,1000
0.000326757,1010
0.000344019,1020
0.000362018,1030
0.000381455,1040
0.000398815,1050
0.00041803,1060
0.000435331,1070
0.00045457,1080
0.000471914,1090
0.000489868,1100
0.000509335,1110
0.000527988,1120
0.000544932,1130
0.000564461,1140
0.000586872,1150
0.000601328,1160
0.000617929,1170
0.000637241,1180
0.000655968,1190
0.000672646,1200
0.000692128,1210
0.000710509,1220
0.000728884,1230
0.000745805,1240
0.000765095,1250
0.000783933,1260
0.000801837,1270
0.000818725,1280
0.000838126,1290
0.000856601,1300
0.000874834,1310
0.000893488,1320
0.000911425,1330
0.000929626,1340
0.000947776,1350
0.000966187,1360
0.000984606,1370
0.00100276,1380
0.00102123,1390
0.00103935,1400
0.00105771,1410
0.0010758,1420
0.00109407,1430
0.00111236,1440
0.00113054,1450
0.0011488,1460
0.00116855,1470
0.00118523,1480
0.00120356,1490
0.00122189,1500
0.00123993,1510
0.00125972,1520
0.00127638,1530
0.00129484,1540
0.00131472,1550
0.00133124,1560
0.00134966,1570
0.00136943,1580
0.00138625,1590
0.00140463,1600
0.00142402,1610
0.00144092,1620
0.00146198,1630
0.00147765,1640
0.00149694,1650
0.00152838,1660
0.00153399,1670
0.00155042,1680
0.00157025,1690
0.00158675,1700
0.00160699,1710
0.0016248,1720
0.00164195,1730
0.00166138,1740
0.00167988,1750
0.00169673,1760
0.00171598,1770
0.00173446,1780
0.00180642,1790
0.00176941,1800
0.00178936,1810
0.00180891,1820
0.00182583,1830
0.00184371,1840
0.00186098,1850
0.00188156,1860
0.00189881,1870
0.00191657,1880
0.00193596,1890
