Iteration,Time_us
1,2504
2,227
3,68
4,74
5,69
6,69
7,73
8,73
9,72
10,74
11,81
12,84
13,86
14,90
15,93
16,95
17,96
18,99
19,99
20,101
21,101
22,100
23,102
24,96
25,104
26,99
27,106
28,102
29,101
30,102
31,101
32,103
33,103
34,106
35,113
36,107
37,106
38,116
39,110
40,116
41,118
42,119
43,114
44,120
45,121
46,121
47,115
48,122
49,124
50,124
51,119
52,125
53,126
54,120
55,127
56,127
57,122
58,123
59,122
60,129
61,129
62,124
63,125
64,125
65,127
66,132
67,135
68,133
69,136
70,137
71,138
72,138
73,139
74,133
75,134
76,140
77,140
78,140
79,143
80,144
81,146
82,143
83,145
84,141
85,140
86,139
87,139
88,141
89,142
90,142
91,144
92,143
93,144
94,353
95,496
96,147
97,146
98,807
99,294
100,148
101,150
102,399
103,167
104,162
105,162
106,164
107,164
108,154
109,164
110,166
111,167
112,157
113,168
114,169
115,170
116,171
117,172
118,171
119,171
120,171
121,172
122,174
123,174
124,176
125,175
126,164
127,176
128,167
129,177
130,179
131,179
132,179
133,181
134,181
135,181
136,182
137,184
138,181
139,183
140,185
141,186
142,186
143,188
144,187
145,188
146,188
147,192
148,179
149,179
150,179
151,179
152,181
153,180
154,182
155,193
156,196
157,195
158,185
159,185
160,219
161,225
162,234
163,222
164,226
165,226
166,235
167,228
168,229
169,191
170,191
171,205
172,205
173,192
174,193
175,196
176,195
177,194
178,198
179,196
180,197
181,198
182,198
183,199
184,199
185,200
186,202
187,203
188,204
189,204
190,204
191,204
192,205
193,205
194,207
195,207
196,207
197,220
198,209
199,209
200,255
201,262
202,255
203,263
204,257
205,490
206,570
207,215
208,216
209,215
210,216
211,216
212,218
213,218
214,219
215,220
216,220
217,219
218,220
219,223
220,221
221,221
222,223
223,223
224,224
225,225
226,1093
227,363
228,229
229,251
230,283
231,285
232,284
233,285
234,246
235,233
236,232
237,232
238,233
239,234
240,241
241,235
242,235
243,235
244,237
245,238
246,244
247,240
248,237
249,239
250,246
251,242
252,242
253,249
254,244
255,835
256,244
257,243
258,244
259,251
260,270
261,304
262,305
263,306
264,309
265,299
266,305
267,266
268,258
269,251
270,259
271,259
272,262
273,260
274,254
275,254
276,256
277,262
278,263
279,263
280,263
281,265
282,265
283,266
284,266
285,267
286,268
287,269
288,268
289,265
290,268
291,271
292,270
293,265
294,272
295,274
296,268
297,278
298,275
299,275
300,276
301,270
302,278
303,273
304,278
305,280
306,281
307,279
308,282
309,282
310,282
311,283
312,284
313,283
314,285
315,291
316,288
317,284
318,290
319,286
320,284
321,298
322,288
323,286
324,295
325,304
326,293
327,288
328,294
329,295
330,288
331,295
332,297
333,298
334,293
335,296
336,300
337,300
338,293
339,301
340,299
341,300
342,296
343,302
344,297
345,303
346,305
347,299
348,305
349,301
350,307
351,302
352,313
353,303
354,309
355,305
356,311
357,315
358,311
359,316
360,312
361,316
362,311
363,318
364,314
365,319
366,313
367,319
368,316
369,318
370,323
371,319
372,323
373,318
374,327
375,324
376,325
377,328
378,329
379,330
380,323
381,330
382,327
383,331
384,333
385,329
386,335
387,328
388,333
389,335
390,335
391,332
392,335
393,336
394,332
395,339
396,333
397,340
398,336
399,340
400,335
401,338
402,341
403,338
404,339
405,343
406,337
407,343
408,347
409,340
410,348
411,348
412,345
413,343
414,344
415,345
416,344
417,356
418,350
419,354
420,349
421,358
422,359
423,350
424,350
425,359
426,359
427,353
428,353
429,354
430,357
431,358
432,361
433,360
434,363
435,358
436,366
437,360
438,359
439,362
440,362
441,363
442,365
443,365
444,362
445,370
446,371
447,363
448,365
449,368
450,369
451,369
452,368
453,369
454,369
455,372
456,376
457,374
458,372
459,374
460,381
461,376
462,373
463,375
464,376
465,384
466,376
467,376
468,378
469,381
470,380
471,388
472,381
473,382
474,384
475,391
476,390
477,383
478,646
479,395
480,399
481,386
482,390
483,396
484,389
485,395
486,392
487,389
488,399
489,391
490,391
491,393
492,393
493,399
494,393
495,393
496,400
497,397
498,401
499,396
500,399
501,407
502,400
503,406
504,401
505,404
506,416
507,403
508,408
509,404
510,403
511,406
512,401
513,404
514,404
515,402
516,403
517,405
518,409
519,404
520,405
521,404
522,411
523,409
524,409
525,408
526,409
527,411
528,408
529,411
530,416
531,413
532,413
533,416
534,414
535,415
536,415
537,415
538,417
539,416
540,418
541,420
542,425
543,418
544,419
545,419
546,421
547,428
548,422
549,425
550,421
551,425
552,424
553,424
554,422
555,424
556,423
557,427
558,425
559,426
560,426
561,428
562,429
563,430
564,430
565,431
566,431
567,432
568,431
569,433
570,433
571,434
572,435
573,437
574,436
575,435
576,437
577,439
578,443
579,443
580,440
581,451
582,445
583,445
584,446
585,446
586,446
587,447
588,446
589,449
590,449
591,449
592,449
593,452
594,452
595,450
596,454
597,460
598,455
599,452
600,454
601,456
602,455
603,457
604,458
605,456
606,466
607,458
608,468
609,459
610,461
611,462
612,462
613,463
614,463
615,467
616,467
617,474
618,467
619,467
620,467
621,471
622,469
623,474
624,471
625,469
626,473
627,474
628,474
629,475
630,474
631,476
632,483
633,479
634,475
635,478
636,478
637,480
638,480
639,478
640,484
641,482
642,489
643,484
644,481
645,484
646,483
647,483
648,491
649,487
650,488
651,490
652,494
653,489
654,489
655,490
656,498
657,493
658,492
659,491
660,493
661,494
662,494
663,495
664,496
665,498
666,499
667,497
668,497
669,497
670,494
671,498
672,502
673,507
674,501
675,504
676,503
677,503
678,502
679,503
680,501
681,502
682,503
683,504
684,510
685,506
686,513
687,508
688,520
689,508
690,514
691,508
692,520
693,510
694,510
695,512
696,517
697,512
698,520
699,516
700,528
701,519
702,520
703,516
704,518
705,519
706,523
707,521
708,520
709,524
710,532
711,525
712,523
713,530
714,528
715,530
716,531
717,530
718,529
719,529
720,532
721,533
722,531
723,532
724,530
725,530
726,532
727,534
728,535
729,535
730,547
731,537
732,546
733,540
734,539
735,540
736,542
737,540
738,541
739,543
740,544
741,544
742,545
743,545
744,545
745,546
746,544
747,548
748,548
749,555
750,551
751,548
752,554
753,550
754,550
755,550
756,552
757,553
758,555
759,554
760,556
761,555
762,557
763,557
764,558
765,559
766,558
767,561
768,565
769,559
770,565
771,559
772,564
773,563
774,564
775,564
776,566
777,565
778,566
779,568
780,567
781,571
782,571
783,569
784,568
785,571
786,572
787,570
788,572
789,572
790,575
791,575
792,575
793,585
794,576
795,578
796,574
797,579
798,578
799,581
800,586
801,583
802,580
803,581
804,581
805,582
806,585
807,586
808,584
809,586
810,586
811,587
812,585
813,587
814,587
815,596
816,591
817,590
818,591
819,592
820,593
821,594
822,594
823,593
824,595
825,597
826,596
827,595
828,596
829,598
830,605
831,600
832,600
833,601
834,604
835,602
836,602
837,602
838,602
839,605
840,603
841,606
842,608
843,608
844,610
845,608
846,611
847,610
848,610
849,612
850,612
851,613
852,613
853,613
854,615
855,615
856,616
857,617
858,616
859,616
860,617
861,616
862,617
863,618
864,618
865,621
866,619
867,624
868,626
869,631
870,624
871,623
872,624
873,623
874,626
875,624
876,627
877,627
878,629
879,635
880,630
881,630
882,631
883,630
884,633
885,634
886,632
887,634
888,633
889,634
890,638
891,639
892,639
893,636
894,639
895,638
896,640
897,643
898,643
899,644
900,642
901,647
902,643
903,652
904,650
905,647
906,646
907,647
908,648
909,646
910,648
911,648
912,650
913,650
914,653
915,652
916,652
917,655
918,654
919,654
920,662
921,659
922,654
923,654
924,658
925,660
926,660
927,663
928,660
929,661
930,674
931,697
932,662
933,665
934,660
935,661
936,660
937,662
938,664
939,663
940,664
941,665
942,666
943,665
944,667
945,666
946,669
947,669
948,676
949,674
950,672
951,678
952,672
953,675
954,691
955,677
956,675
957,694
958,678
959,681
960,679
961,681
962,682
963,689
964,689
965,684
966,685
967,686
968,686
969,688
970,687
971,687
972,688
973,689
974,689
975,692
976,692
977,692
978,692
979,693
980,689
981,692
982,695
983,702
984,696
985,697
986,699
987,697
988,700
989,700
990,704
991,696
992,700
993,706
994,702
995,702
996,705
997,708
998,706
999,710
1000,703
1001,706
1002,706
1003,708
1004,707
1005,710
1006,710
1007,709
1008,711
1009,712
1010,711
1011,712
1012,714
1013,712
1014,713
1015,715
1016,715
1017,715
